date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-04-07,2357,815639,443707616,544.0,544.0,544.0,544.0,-60.0,2971
2025-04-08,2357,4144232,2030690661,490.0,490.0,490.0,490.0,-54.0,7506
2025-04-09,2357,12938639,5871251075,451.0,476.0,441.0,441.0,-49.0,16741
2025-04-10,2357,2880247,1396919795,485.0,485.0,485.0,485.0,44.0,1859
2025-04-11,2357,10185692,5049455104,473.0,512.0,467.5,512.0,27.0,20457
2025-04-14,2357,7590534,4129770685,526.0,555.0,526.0,542.0,30.0,9403
2025-04-15,2357,5384662,3015759063,541.0,572.0,535.0,563.0,21.0,6487
2025-04-16,2357,4461233,2486581442,557.0,566.0,551.0,553.0,-10.0,5557
2025-04-17,2357,4370989,2371009562,546.0,549.0,537.0,543.0,-10.0,5196
2025-04-18,2357,3422731,1870569843,546.0,551.0,542.0,543.0,0.0,3033
2025-04-21,2357,2873006,1538953274,539.0,544.0,531.0,531.0,-12.0,3742
2025-04-22,2357,4975460,2573666617,521.0,528.0,509.0,512.0,-19.0,9700
2025-04-23,2357,3789259,2041785811,527.0,544.0,527.0,543.0,31.0,4173
2025-04-24,2357,5663251,3060335709,534.0,546.0,528.0,544.0,1.0,3486
2025-04-25,2357,7551952,4381769414,555.0,597.0,555.0,591.0,47.0,10550
2025-04-28,2357,3437108,2011027725,586.0,590.0,581.0,583.0,-8.0,4480
2025-04-29,2357,2285088,1335089421,583.0,587.0,580.0,586.0,3.0,2724
2025-04-30,2357,2198975,1277100757,584.0,587.0,576.0,580.0,-6.0,2798
2025-05-02,2357,1928376,1132736865,587.0,590.0,584.0,590.0,10.0,2691
2025-05-05,2357,4679406,2677892655,591.0,592.0,559.0,575.0,-15.0,9638
2025-05-06,2357,3129203,1833371991,573.0,592.0,572.0,587.0,12.0,4028
2025-05-07,2357,2398505,1423815666,590.0,600.0,587.0,594.0,7.0,3157
2025-05-08,2357,1801985,1072732407,596.0,598.0,592.0,594.0,0.0,2235
2025-05-09,2357,2202185,1318395334,594.0,602.0,591.0,602.0,8.0,2663
2025-05-12,2357,2222051,1350789716,605.0,614.0,603.0,603.0,1.0,3458
2025-05-13,2357,3413336,2072853563,610.0,613.0,602.0,608.0,5.0,3570
